sales_date,sku_id,product_name,daily_quantity,rolling_mean_7,spike_ratio,severity,reason,anomaly_type
2025-06-10,7.144930821143692e+18,伟博天然进口KSM66南非醉茄印度人参精华3600mg*120粒降低皮质醇-默认-(DYWEB625273052640),8,2.0,4.0,Medium,Campaign-driven sales spike: Sales are 4.0x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-25,7.146569951686672e+18,WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒-默认-(DYWEB625273090086),123,24.142857142857142,5.094674556213018,High,Campaign-driven sales spike: Sales are 5.09x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-14,7.146569951686672e+18,WEBBER NATURALS高纯度深海鱼油omega3欧米伽3成人健身鱼油120粒-默认-(DYWEB625273090086),65,17.142857142857142,3.791666666666667,Medium,Campaign-driven sales spike: Sales are 3.79x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-24,7.220679778930622e+18,WEBBER NATURALS伟博加拿大伟博天然安睡宝 茶氨酸褪黑素45粒/瓶-默认-(DYWEB625273090338),5,1.5714285714285714,3.181818181818182,Medium,Campaign-driven sales spike: Sales are 3.18x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-02,7.295616354202386e+18,WEBBER NATURALS南非醉茄KSM66 7200mg降低皮质醇缓压促睡眠120粒-默认-(625273071597),7,2.0,3.5,Medium,Campaign-driven sales spike: Sales are 3.5x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-28,7.295616354202386e+18,WEBBER NATURALS南非醉茄KSM66 7200mg降低皮质醇缓压促睡眠120粒-默认-(625273071597),5,1.4285714285714286,3.5,Medium,Campaign-driven sales spike: Sales are 3.5x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-03,7.448836024085742e+18,Webber Naturals伟博天然阳光小金盾小颗粒深海儿童鱼油+D3 60粒-默认-(DYWEB625273071634),26,7.285714285714286,3.5686274509803924,Medium,Campaign-driven sales spike: Sales are 3.57x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-14,7.481121574674874e+18,伟博天然辅酶Q10胶囊100mg 成人心脏活力60粒 效期至26年5月30日-默认-(DYWEB628347570705),23,6.142857142857143,3.744186046511628,Medium,Campaign-driven sales spike: Sales are 3.74x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-05,7.503765776017555e+18,WEBBER NATURALS茶氨酸加纳籽褪黑素香蜂草草本5重配方安睡宝10粒-默认-(DYWEB990312500179),35,10.428571428571429,3.356164383561644,Medium,Campaign-driven sales spike: Sales are 3.36x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-12,7.532330906892419e+18,【进博会专属】伟博天然骨胶原氨糖软骨素姜黄舒缓关节养护 60粒-默认-(625273072426),6,1.0,6.0,High,Campaign-driven sales spike: Sales are 6.0x higher than the 7-day average.,CAMPAIGN_SPIKE
